zoneId,zoneName,row,column,type,recommendedProducts
A-01,Зона A-01,A,1,hot,"Найпопулярніші товари: iPhone, AirPods, Samsung Galaxy"
A-02,Зона A-02,A,2,hot,"Популярні аксесуари: навушники, повербанки"
A-03,Зона A-03,A,3,warm,"Ноутбуки та планшети"
A-04,Зона A-04,A,4,warm,"Смарт-годинники та фітнес-браслети"
A-05,Зона A-05,A,5,cold,"Фото та відео техніка"
B-01,Зона B-01,B,1,hot,"Ігрові консолі та аксесуари"
B-02,Зона B-02,B,2,warm,"Комп'ютерна периферія"
B-03,Зона B-03,B,3,warm,"Портативна акустика"
B-04,Зона B-04,B,4,cold,"Роботи-пилососи"
B-05,Зона B-05,B,5,cold,"Побутова техніка Dyson"
C-01,Зона C-01,C,1,warm,"Телевізори до 55 дюймів"
C-02,Зона C-02,C,2,cold,"Телевізори 65+ дюймів"
C-03,Зона C-03,C,3,cold,"Дрони та екшн-камери"
C-04,Зона C-04,C,4,frozen,"Рідкісні товари та архів"
C-05,Зона C-05,C,5,frozen,"Запасні частини та аксесуари"
D-01,Зона D-01,D,1,cold,"Ігрові клавіатури та миші"
D-02,Зона D-02,D,2,cold,"Ігрові гарнітури"
D-03,Зона D-03,D,3,frozen,"Портативні консолі"
D-04,Зона D-04,D,4,frozen,"Архівні товари"
D-05,Зона D-05,D,5,frozen,"Товари на списання"
